user_id,name,timestamp,major_selected,colleges_researched,session_id,college_researched
127.0.0.1,Bob,2024-12-10 01:34:25,Political Science,guttman,,
127.0.0.1,Bob,2024-12-10 01:44:15,Nursing,guttman,,
127.0.0.1,Bob,2024-12-10 01:48:40,Public Policy,guttman,,
127.0.0.1,Bob,2024-12-10 01:58:53,Music Education,guttman,,
127.0.0.1,Bob,2024-12-10 01:59:12,Mechanical Engineering,guttman,,
127.0.0.1,Jon,2024-12-10 02:09:40,Electrical Engineering,guttman,,
127.0.0.1,Bob,2024-12-10 18:09:39,English,guttman,,
127.0.0.1,Bob,2024-12-10 18:10:56,Criminal Justice,guttman,,
127.0.0.1,Jon,2024-12-10 18:29:42,Computer Science,guttman,,
127.0.0.1,Sam,2024-12-10 18:53:30,Political Science,,20241210185306.0,
127.0.0.1,kate,2024-12-10 19:06:05,Fine Arts,,20241210190547.0,
127.0.0.1,Luke,2024-12-10 19:12:09,International Relations,,20241210191136.0,
127.0.0.1,Tim,2024-12-10 19:26:58,Early Childhood Education,,20241210192643,
8a0942a2-c12b-4964-ab5e-1aaa602f2390,Bob,2024-12-11 01:15:45,,
0df661fe-b62f-479a-bfc4-fe2f68483cf7,Explore Careers and Majors,2024-12-11 01:15:47,,
5a067c7f-b4df-4f6f-a006-4db912895d12,Explore Careers and Majors,2024-12-11 01:15:50,,
6bf3a9c9-5ac8-4b10-9636-b2ff3bb4496a,Yuriy,2024-12-11 01:18:14,,
8b7f3ef9-25b5-4105-8cb3-6f9986617d6c,Explore Careers and Majors,2024-12-11 01:18:15,,
1b7df98a-f0ad-4929-8c48-b1e11d53fbd5,Explore Careers and Majors,2024-12-11 01:18:19,,
837747d2-9c89-4408-9de8-650e576fbd68,Research Colleges,2024-12-11 01:18:21,,
5e4e87ac-bb79-4ff8-9b2b-d1a649af4ed0,Get application advice,2024-12-11 01:18:23,,
b1109b68-b677-4fdd-a66c-4d35074012dc,,2024-12-11 02:59:05,ASK_NAME,,
b1109b68-b677-4fdd-a66c-4d35074012dc,INIT,2024-12-11 02:59:05,MAIN_MENU,,
d4376812-1d7e-4c90-b940-8dacecb7af79,,2024-12-11 03:00:06,ASK_NAME,,
d4376812-1d7e-4c90-b940-8dacecb7af79,INIT,2024-12-11 03:00:06,MAIN_MENU,,
f310db52-3ef9-4cc0-a991-e486c59c1217,,2024-12-11 03:02:11,ASK_NAME,,
f2883d43-206b-4baf-aa0a-2be23cee4426,,2024-12-11 03:04:08,ASK_NAME,,
9e355135-6128-4838-9b54-8d952bfe44e9,,2024-12-11 03:04:12,ASK_NAME,,
ea93dd92-e0a5-4808-95fe-8eb94a411d4b,,2024-12-11 03:05:01,ASK_NAME,,
b38e04c4-0cc9-4488-94cf-60d0fb8fea9c,,2024-12-11 03:07:14,ASK_NAME,,
61b069a4-b970-4ce1-8e16-a76443554b64,,2024-12-11 03:10:03,ASK_NAME,,
012b9062-5dc4-4399-bcbf-ba6e1a3e4af9,,2024-12-11 03:12:01,ASK_NAME,,
9aab61dc-6ee3-4ae0-bad1-872fc9b68394,,2024-12-11 03:12:04,ASK_NAME,,
fa7c4d90-be75-46b0-b343-861fa361c47c,,2024-12-11 03:13:28,ASK_NAME,,
a1cda3b6-3ba4-4d94-b699-88464a8c4f1d,,2024-12-11 03:13:49,ASK_NAME,,
2c4604e3-4617-4254-803c-be966d6bf20e,,2024-12-11 04:35:56,ASK_NAME,,
9850ffe0-2657-4637-a7ee-7415637accf1,,2024-12-11 04:40:21,ASK_NAME,,
9850ffe0-2657-4637-a7ee-7415637accf1,Non,2024-12-11 04:40:30,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Explore Careers and Majors,2024-12-11 04:40:33,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Explore Careers and Majors,2024-12-11 04:40:36,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,bob,2024-12-10 23:48:34,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Explore Careers and Majors,2024-12-10 23:48:35,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Explore Careers and Majors,2024-12-10 23:48:38,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Research Colleges,2024-12-10 23:48:39,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Get Application Advice,2024-12-10 23:48:41,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Joe,2024-12-10 23:55:01,MAIN_MENU,,
